fecha,producto,tipo,produccion_me,produccion_real,cumplimiento
2025-12-06,Refinería 1,refineria,355.0,353.61,99.61
2025-12-06,Refinería 2,refineria,35.0,23.29,66.53
2025-12-06,Total Oleína,total,209.0,204.44,97.82
2025-12-07,Fracc 1,fraccionamiento,92.0,81.0,88.04
2025-12-07,Fracc 2,fraccionamiento,117.0,108.26,92.53
2025-12-07,Margarinas,producto,63.0,63.0,100.0
2025-12-07,Refinería 1,refineria,280.0,354.0,126.43
2025-12-07,Refinería 2,refineria,0.0,21.0,0.0
2025-12-07,Total Oleína,total,209.0,189.26,90.56
2025-12-08,Fracc 1,fraccionamiento,92.0,94.5,102.72
2025-12-08,Fracc 2,fraccionamiento,117.0,110.64,94.56
2025-12-08,Margarinas,producto,59.85,56.7,94.74
2025-12-08,Refinería 1,refineria,355.0,341.32,96.15
2025-12-08,Refinería 2,refineria,35.0,30.35,86.7
2025-12-08,Total Oleína,total,209.0,205.13,98.15
2025-12-09,Fracc 1,fraccionamiento,92.0,0.0,0.0
2025-12-09,Fracc 2,fraccionamiento,117.0,0.0,0.0
2025-12-09,Margarinas,producto,63.0,0.0,0.0
2025-12-09,Refinería 1,refineria,355.0,0.0,0.0
2025-12-09,Refinería 2,refineria,15.0,0.0,0.0
2025-12-09,Total Oleína,total,209.0,0.0,0.0
2025-12-10,Fracc 1,fraccionamiento,92.0,0.0,0.0
2025-12-10,Fracc 2,fraccionamiento,117.0,0.0,0.0
2025-12-10,Margarinas,producto,63.0,0.0,0.0
2025-12-10,Refinería 1,refineria,355.0,0.0,0.0
2025-12-10,Refinería 2,refineria,37.0,0.0,0.0
2025-12-10,Total Oleína,total,209.0,0.0,0.0
2025-12-11,Fracc 1,fraccionamiento,92.0,0.0,0.0
2025-12-11,Fracc 2,fraccionamiento,117.0,0.0,0.0
2025-12-11,Margarinas,producto,63.0,40.95,65.0
2025-12-11,Refinería 1,refineria,355.0,0.0,0.0
2025-12-11,Refinería 2,refineria,37.0,0.0,0.0
2025-12-11,Total Oleína,total,209.0,0.0,0.0
2025-12-12,Fracc 1,fraccionamiento,92.0,0.0,0.0
2025-12-12,Fracc 2,fraccionamiento,117.0,0.0,0.0
2025-12-12,Margarinas,producto,63.0,0.0,0.0
2025-12-12,Refinería 1,refineria,355.0,0.0,0.0
